Member ID,Advertiser ID,Advertiser Name,Clicks,Sales,Commissions
N/A,2311,"Gaiam.com, Inc",1,0,0
N/A,2762,drugstore.com,2,0,0
N/A,3002,Beauty.com,1,0,0
N/A,3458,Vision Direct Contacts,3,0,0
N/A,14028,TigerDirect,1,0,0
N/A,36342,Buy.com (dba Rakuten.com Shopping),128,26.95,0.13475
N/A,36553,YourBestDeals.com,2,0,0
N/A,37117,Swimwearforme.com,1,0,0
N/A,37461,SmartBargains.com,1,0,0
N/A,38463,Luxe Designer Handbag,2,0,0
N/A,38466,Downpour.com,1,0,0
N/A,38518,Folica,1,0,0
N/A,38605,Kohls Department Stores Inc,44,283.53,11.3412
iUvBUT61,38605,Kohls Department Stores Inc,9,0,0
zuuzlo,38605,Kohls Department Stores Inc,3,0,0
